,지점명,연간,지점,X1.5M.평균.습도...,X10CM.일.토양수분...,X1.5M.평균.기온..C.,평균.지면온도..C.
3,전라남도 해남군,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513
3,전라남도 강진군,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513
3,전라남도 진도군,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513
5,경기도 용인시 처인구,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553
5,경기도 고양시 일산서구,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553
5,경기도 광명시,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553
5,경기도 안산시 상록구,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553
5,경기도 부천시,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553
6,경상북도 영양군,2022,972,71.6623931623932,28.1385281385281,18.4952991452991,21.407264957265
6,경상북도 영덕군,2022,972,71.6623931623932,28.1385281385281,18.4952991452991,21.407264957265
6,경상북도 경주시,2022,972,71.6623931623932,28.1385281385281,18.4952991452991,21.407264957265
6,경상북도 포항시 북구,2022,972,71.6623931623932,28.1385281385281,18.4952991452991,21.407264957265
7,충청북도 진천군,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213
7,충청북도 제천시,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213
7,충청북도 충주시,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213
7,충청남도 부여군,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213
7,대전광역시 유성구,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213
8,전북특별자치도 익산시,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448
8,전북특별자치도 김제시,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448
9,강원특별자치도 평창군,2022,978,73.1021276595745,17.7744680851064,17.8287553648069,20.8276595744681
9,강원특별자치도 영월군,2022,978,73.1021276595745,17.7744680851064,17.8287553648069,20.8276595744681
10,전라남도 나주시,2022,973,77.4334763948498,20.8978723404255,19.3323275862069,22.2708154506438
10,전라남도 곡성군,2022,973,77.4334763948498,20.8978723404255,19.3323275862069,22.2708154506438
10,전라남도 구례군,2022,973,77.4334763948498,20.8978723404255,19.3323275862069,22.2708154506438
